date,time,encounter,dot,tide,sample_round,group_number,group_size,count_white,count_gray,count_calf,calf_presence ,behavior,comments
8/31/2022,11:40,17,in river,Ebb,1,1,2,2,0,0,no,Travel,2w traveling up river
8/31/2022,11:41,17,in river,Ebb,1,1,2,2,0,0,no,Travel,
8/31/2022,11:42,17,in river,Ebb,1,1,2,2,0,0,no,Travel,
8/31/2022,11:43,17,in river,Ebb,1,1,2,2,0,0,no,Travel,
8/31/2022,11:44,17,in river,Ebb,1,1,2,2,0,0,no,Travel,
8/31/2022,11:45,17,in river,Ebb,1,1,2,2,0,0,no,Travel,
8/31/2022,11:46,17,in river,Ebb,1,1,2,2,0,0,no,Travel,
8/31/2022,11:47,17,in river,Ebb,1,1,2,2,0,0,no,Travel,
8/31/2022,11:48,17,in river,Ebb,1,1,2,2,0,0,no,Travel,
8/31/2022,11:49,17,in river,Ebb,1,1,2,2,0,0,no,Travel,
8/31/2022,11:50,17,in river,Ebb,1,1,2,2,0,0,no,Travel,
8/31/2022,11:51,17,in river,Ebb,1,1,2,2,0,0,no,Travel,
8/31/2022,11:52,17,in river,Ebb,1,1,2,2,0,0,no,Travel,
8/31/2022,11:53,17,in river,Ebb,1,1,2,2,0,0,no,Travel,
8/31/2022,11:54,17,in river,Ebb,1,1,2,2,0,0,no,Travel,
8/31/2022,11:55,17,in river,Ebb,1,1,2,2,0,0,no,Travel,
8/31/2022,11:56,17,in river,Ebb,1,1,2,2,0,0,no,Travel,
8/31/2022,11:57,17,in river,Ebb,1,1,2,2,0,0,no,Travel,
8/31/2022,11:58,17,in river,Ebb,1,1,2,2,0,0,no,Travel,
8/31/2022,11:59,17,in river,Ebb,1,1,2,2,0,0,no,Travel,
8/31/2022,12:00,17,in river,Ebb,1,1,2,2,0,0,no,Travel,
8/31/2022,13:07,18,at mouth,Ebb,2,1,2,2,0,0,no,Travel,
8/31/2022,13:08,18,at mouth,Ebb,2,1,2,2,0,0,no,Travel,whales near mouth now
8/31/2022,13:09,18,at mouth,Ebb,2,1,2,2,0,0,no,Travel,
8/31/2022,13:10,18,at mouth,Ebb,2,1,2,2,0,0,no,Travel,
8/31/2022,13:11,18,at mouth,Ebb,2,1,2,2,0,0,no,Travel,
8/31/2022,13:12,18,at mouth,Ebb,2,1,2,2,0,0,no,Travel,
