date,time,encounter,tide,group_size,calf_presence,behavior,call_category
9/17/2021,13:22:00,4,Flood,10,yes,Mill,ws
9/17/2021,13:22:00,4,Flood,10,yes,Mill,ws
9/17/2021,13:22:00,4,Flood,10,yes,Mill,ws
9/17/2021,13:22:00,4,Flood,10,yes,Mill,ws
9/17/2021,13:22:00,4,Flood,10,yes,Mill,ws
9/17/2021,13:22:00,4,Flood,10,yes,Mill,ws
9/17/2021,13:22:00,4,Flood,10,yes,Mill,ws
9/17/2021,13:23:00,4,Flood,10,yes,Mill,ws
9/17/2021,13:23:00,4,Flood,10,yes,Mill,ws
9/17/2021,13:23:00,4,Flood,10,yes,Mill,ws
9/17/2021,13:23:00,4,Flood,10,yes,Mill,ws
9/17/2021,13:23:00,4,Flood,10,yes,Mill,ws
9/17/2021,13:23:00,4,Flood,10,yes,Mill,cc
9/17/2021,13:23:00,4,Flood,10,yes,Mill,ws
9/17/2021,13:23:00,4,Flood,10,yes,Mill,ws
9/17/2021,13:23:00,4,Flood,10,yes,Mill,ws
9/17/2021,13:23:00,4,Flood,10,yes,Mill,ws
9/17/2021,13:23:00,4,Flood,10,yes,Mill,ws
9/17/2021,13:23:00,4,Flood,10,yes,Mill,ws
9/17/2021,13:23:00,4,Flood,10,yes,Mill,ws
9/17/2021,13:23:00,4,Flood,10,yes,Mill,ws
9/17/2021,13:23:00,4,Flood,10,yes,Mill,ws
9/17/2021,13:23:00,4,Flood,10,yes,Mill,ws
9/17/2021,13:23:00,4,Flood,10,yes,Mill,ws
9/17/2021,13:23:00,4,Flood,10,yes,Mill,ws
9/17/2021,13:23:00,4,Flood,10,yes,Mill,ws
9/17/2021,13:23:00,4,Flood,10,yes,Mill,cc
9/17/2021,13:24:00,4,Flood,15,yes,Travel,cc
9/17/2021,13:24:00,4,Flood,15,yes,Travel,ws
9/17/2021,13:24:00,4,Flood,15,yes,Travel,ws
9/17/2021,13:24:00,4,Flood,15,yes,Travel,ws
9/17/2021,13:24:00,4,Flood,15,yes,Travel,ws
9/17/2021,13:24:00,4,Flood,15,yes,Travel,ws
9/17/2021,13:24:00,4,Flood,15,yes,Travel,ws
9/17/2021,13:24:00,4,Flood,15,yes,Travel,ws
9/17/2021,13:24:00,4,Flood,15,yes,Travel,ws
9/17/2021,13:24:00,4,Flood,15,yes,Travel,ws
9/17/2021,13:24:00,4,Flood,15,yes,Travel,cc
