date,time,encounter,dot,tide,sample_round,group_number,group_size,count_white,count_gray,count_calf,calf_presence ,behavior,comments
8/9/2022,11:00,12,S,Ebb,1,1,10,10,0,0,no,Travel,
8/9/2022,11:01,12,S,Ebb,1,1,10,10,0,0,no,Travel,
8/9/2022,11:02,12,S,Ebb,1,1,10,10,0,0,no,Travel,
8/9/2022,11:03,12,S,Ebb,1,1,10,10,0,0,no,Travel,
8/9/2022,11:04,12,S,Ebb,1,1,10,10,0,0,no,Travel,
8/9/2022,11:05,12,S,Ebb,1,1,10,10,0,0,no,Travel,
8/9/2022,11:06,12,S,Ebb,1,1,10,10,0,0,no,Travel,
8/9/2022,11:07,12,S,Ebb,1,1,10,10,0,0,no,Travel,
8/9/2022,11:08,12,S,Ebb,1,1,10,10,0,0,no,Travel,
8/9/2022,11:09,12,S,Ebb,1,1,10,10,0,0,no,Travel,
8/9/2022,11:10,12,S,Ebb,1,1,10,10,0,0,no,Travel,
8/9/2022,11:11,12,S,Ebb,1,1,10,10,0,0,no,Travel,
8/9/2022,11:12,12,S,Ebb,1,1,10,10,0,0,no,Travel,
8/9/2022,11:13,12,S,Ebb,1,1,10,10,0,0,no,Travel,
8/9/2022,11:14,12,S,Ebb,1,1,10,10,0,0,no,Travel,
8/9/2022,11:15,12,S,Ebb,1,1,10,10,0,0,no,Travel,
8/9/2022,11:16,12,S,Ebb,1,1,10,10,0,0,no,Travel,
8/9/2022,11:17,12,S,Ebb,1,1,10,10,0,0,no,Travel,
8/9/2022,11:18,12,S,Ebb,1,1,10,10,0,0,no,Travel,
8/9/2022,11:19,12,S,Ebb,1,1,10,10,0,0,no,Travel,
8/9/2022,11:20,12,S,Ebb,1,1,10,10,0,0,no,Travel,
