date,time,encounter,dot,tide,sample_round,group_number,group_size,count_white,count_gray,count_calf,calf_presence ,behavior,comments
10/8/2021,12:12,8,S,Ebb,1,1,19,18,0,1,yes,Travel,Group spread traveling south
10/8/2021,12:13,8,S,Ebb,1,1,19,18,0,1,yes,Travel,
10/8/2021,12:14,8,S,Ebb,1,1,19,18,0,1,yes,Travel,
10/8/2021,12:15,8,S,Ebb,1,1,19,18,0,1,yes,Travel,
10/8/2021,12:16,8,S,Ebb,1,1,19,18,0,1,yes,Travel,
10/8/2021,12:17,8,S,Ebb,1,1,19,18,0,1,yes,Travel,
10/8/2021,12:18,8,S,Ebb,1,1,19,18,0,1,yes,Travel,
10/8/2021,12:19,8,S,Ebb,1,1,19,18,0,1,yes,Travel,
10/8/2021,12:20,8,S,Ebb,1,1,19,18,0,1,yes,Travel,
10/8/2021,12:21,8,S,Ebb,1,1,19,18,0,1,yes,Travel,
10/8/2021,12:22,8,S,Ebb,1,1,19,18,0,1,yes,Travel,
10/8/2021,12:23,8,S,Ebb,1,1,19,18,0,1,yes,Travel,
10/8/2021,12:24,8,S,Ebb,1,1,19,18,0,1,yes,Travel,
10/8/2021,12:25,8,S,Ebb,1,1,19,18,0,1,yes,Travel,
10/8/2021,12:26,8,S,Ebb,1,1,19,18,0,1,yes,Travel,
10/8/2021,12:27,8,S,Ebb,1,1,19,18,0,1,yes,Travel,"bubbling at battle point, didn't enter ER mouth"
10/8/2021,12:28,8,S,Ebb,1,1,53,26,18,9,yes,Travel,whales still traveling south and more arriving throughout interval
10/8/2021,12:29,8,S,Ebb,1,1,53,26,18,9,yes,Travel,
10/8/2021,12:30,8,S,Ebb,1,1,53,26,18,9,yes,Travel,
10/8/2021,12:31,8,S,Ebb,1,1,53,26,18,9,yes,Travel,squeaks 
10/8/2021,12:32,8,S,Ebb,1,1,53,26,18,9,yes,Travel,
10/8/2021,12:33,8,S,Ebb,1,1,53,26,18,9,yes,Travel,
10/8/2021,12:34,8,S,Ebb,1,1,53,26,18,9,yes,Travel,
10/8/2021,12:35,8,S,Ebb,1,1,53,26,18,9,yes,Travel,
10/8/2021,12:36,8,S,Ebb,1,1,53,26,18,9,yes,Travel,
10/8/2021,12:37,8,S,Ebb,1,1,53,26,18,9,yes,Travel,
10/8/2021,12:38,8,S,Ebb,1,1,53,26,18,9,yes,Travel,
10/8/2021,12:39,8,S,Ebb,1,1,53,26,18,9,yes,Travel,
10/8/2021,12:40,8,S,Ebb,1,1,53,26,18,9,yes,Travel,
10/8/2021,12:41,8,S,Ebb,1,1,53,26,18,9,yes,Travel,
10/8/2021,12:42,8,S,Ebb,1,1,53,26,18,9,yes,Travel,
10/8/2021,12:43,8,S,Ebb,1,1,53,26,18,9,yes,Travel,
10/8/2021,12:44,8,S,Ebb,1,1,53,26,18,9,yes,Travel,
10/8/2021,12:45,8,S,Ebb,1,1,53,26,18,9,yes,Travel,
10/8/2021,12:46,8,S,Ebb,1,1,53,26,18,9,yes,Travel,honk
10/8/2021,12:47,8,S,Ebb,1,1,53,26,18,9,yes,Travel,
10/8/2021,12:48,8,S,Ebb,1,1,53,26,18,9,yes,Travel,
10/8/2021,12:49,8,S,Ebb,1,2,3,1,1,1,yes,Travel,
10/8/2021,12:50,8,S,Ebb,1,2,3,1,1,1,yes,Travel,
10/8/2021,12:51,8,S,Ebb,1,2,3,1,1,1,yes,Travel,
10/8/2021,12:52,8,S,Ebb,1,2,3,1,1,1,yes,Travel,
10/8/2021,12:53,8,S,Ebb,1,2,3,1,1,1,yes,Travel,
10/8/2021,12:54,8,S,Ebb,1,2,3,1,1,1,yes,Travel,
10/8/2021,12:55,8,S,Ebb,1,2,3,1,1,1,yes,Travel,
10/8/2021,12:56,8,S,Ebb,1,2,3,1,1,1,yes,Travel,
10/8/2021,12:57,8,S,Ebb,1,2,3,1,1,1,yes,Travel,
10/8/2021,12:58,8,S,Ebb,1,2,3,1,1,1,yes,Travel,"group 2 in north pocket traveling south, group 1 still south as well"
10/8/2021,12:59,8,S,Ebb,1,2,3,1,1,1,yes,Travel,
10/8/2021,13:00,8,S,Ebb,1,2,3,1,1,1,yes,Travel,
10/8/2021,13:01,8,S,Ebb,1,2,3,1,1,1,yes,Travel,
10/8/2021,13:02,8,S,Ebb,1,2,3,1,1,1,yes,Travel,
10/8/2021,13:03,8,S,Ebb,1,2,3,1,1,1,yes,Travel,
10/8/2021,13:04,8,S,Ebb,1,2,3,1,1,1,yes,Travel,
