date,time,encounter,dot,tide,sample_round,group_number,group_size,count_white,count_gray,count_calf,calf_presence ,behavior,comments
8/26/2022,8:41,14,in river,Ebb,1,1,1,1,0,0,no,Travel,
8/26/2022,8:42,14,in river,Ebb,1,1,1,1,0,0,no,Travel,entered river
8/26/2022,8:43,14,in river,Ebb,1,1,1,1,0,0,no,Travel,
8/26/2022,8:44,14,in river,Ebb,1,1,1,1,0,0,no,Travel,
8/26/2022,8:45,14,in river,Ebb,1,1,1,1,0,0,no,Travel,
8/26/2022,8:46,14,in river,Ebb,1,1,1,1,0,0,no,Travel,
8/26/2022,8:47,14,in river,Ebb,1,1,1,1,0,0,no,Travel,
8/26/2022,8:48,14,in river,Ebb,1,1,1,1,0,0,no,Travel,
8/26/2022,8:49,14,in river,Ebb,1,1,1,1,0,0,no,Travel,
8/26/2022,8:50,14,in river,Ebb,1,1,1,1,0,0,no,Travel,
8/26/2022,8:51,14,in river,Ebb,1,1,1,1,0,0,no,Travel,
8/26/2022,8:52,14,in river,Ebb,1,1,1,1,0,0,no,Travel,
8/26/2022,8:53,14,in river,Ebb,1,1,1,1,0,0,no,Travel,
8/26/2022,8:54,14,in river,Ebb,1,1,1,1,0,0,no,Travel,
8/26/2022,8:55,14,in river,Ebb,1,1,1,1,0,0,no,Travel,
8/26/2022,8:56,14,in river,Ebb,1,1,1,1,0,0,no,Travel,
8/26/2022,8:57,14,in river,Ebb,1,1,1,1,0,0,no,Travel,
8/26/2022,8:58,14,in river,Ebb,1,1,1,1,0,0,no,Travel,
8/26/2022,8:59,14,in river,Ebb,1,1,1,1,0,0,no,Travel,
8/26/2022,9:00,14,in river,Ebb,1,1,1,1,0,0,no,Travel,
8/26/2022,9:01,14,in river,Ebb,1,1,1,1,0,0,no,Travel,
8/26/2022,9:29,15,in river,Ebb,2,2,4,2,1,1,yes,Mill,
8/26/2022,9:30,15,in river,Ebb,2,2,4,2,1,1,yes,Mill,
8/26/2022,9:31,15,in river,Ebb,2,2,4,2,1,1,yes,Mill,
8/26/2022,9:32,15,in river,Ebb,2,2,4,2,1,1,yes,Mill,
8/26/2022,9:33,15,in river,Ebb,2,2,4,2,1,1,yes,Mill,
