date,time,encounter,dot,tide,sample_round,group_number,group_size,count_white,count_gray,count_calf,calf_presence ,behavior,comments
10/7/2021,11:49,7,S,Ebb,1,2,15,9,3,3,yes,Travel,milling in north pocket  then traveling south
10/7/2021,11:50,7,S,Ebb,1,2,15,9,3,3,yes,Travel,
10/7/2021,11:51,7,S,Ebb,1,2,15,9,3,3,yes,Travel,
10/7/2021,11:52,7,S,Ebb,1,2,15,9,3,3,yes,Travel,
10/7/2021,11:53,7,S,Ebb,1,2,15,9,3,3,yes,Travel,
10/7/2021,11:54,7,S,Ebb,1,2,15,9,3,3,yes,Travel,
10/7/2021,11:55,7,S,Ebb,1,2,15,9,3,3,yes,Travel,
10/7/2021,11:56,7,S,Ebb,1,2,15,9,3,3,yes,Travel,
10/7/2021,11:57,7,S,Ebb,1,2,15,9,3,3,yes,Travel,
10/7/2021,11:58,7,S,Ebb,1,2,15,9,3,3,yes,Travel,dive in 33G
10/7/2021,11:59,7,S,Ebb,1,2,15,9,3,3,yes,Travel,
10/7/2021,12:00,7,S,Ebb,1,2,15,9,3,3,yes,Travel,
10/7/2021,12:01,7,S,Ebb,1,2,15,9,3,3,yes,Travel,
10/7/2021,12:02,7,S,Ebb,1,2,15,9,3,3,yes,Travel,
10/7/2021,12:03,7,S,Ebb,1,2,15,9,3,3,yes,Travel,
10/7/2021,12:04,7,S,Ebb,1,2,15,9,3,3,yes,Travel,
10/7/2021,12:05,7,S,Ebb,1,2,15,9,3,3,yes,Travel,
10/7/2021,12:06,7,S,Ebb,1,2,15,9,3,3,yes,Travel,
10/7/2021,12:07,7,S,Ebb,1,2,15,9,3,3,yes,Travel,
10/7/2021,12:08,7,S,Ebb,1,2,15,9,3,3,yes,Travel,
10/7/2021,12:09,7,S,Ebb,1,2,6,5,1,0,no,Mill,
10/7/2021,12:10,7,S,Ebb,1,2,6,5,1,0,no,Mill,
10/7/2021,12:11,7,S,Ebb,1,2,6,5,1,0,no,Mill,
10/7/2021,12:12,7,S,Ebb,1,2,6,5,1,0,no,Mill,
10/7/2021,12:13,7,S,Ebb,1,2,6,5,1,0,no,Mill,
10/7/2021,12:14,7,S,Ebb,1,2,6,5,1,0,no,Mill,
10/7/2021,12:15,7,S,Ebb,1,2,6,5,1,0,no,Mill,
10/7/2021,12:16,7,S,Ebb,1,2,6,5,1,0,no,Mill,
10/7/2021,12:17,7,S,Ebb,1,2,6,5,1,0,no,Mill,
10/7/2021,12:18,7,S,Ebb,1,2,6,5,1,0,no,Mill,
10/7/2021,12:19,7,S,Ebb,1,2,6,5,1,0,no,Mill,
10/7/2021,12:20,7,S,Ebb,1,2,6,5,1,0,no,Mill,
10/7/2021,12:21,7,S,Ebb,1,2,6,5,1,0,no,Mill,
10/7/2021,12:22,7,S,Ebb,1,2,6,5,1,0,no,Mill,
10/7/2021,12:23,7,S,Ebb,1,2,6,5,1,0,no,Mill,whales moved south and now out of view
10/7/2021,12:24,7,S,Ebb,1,2,6,5,1,0,no,Mill,
10/7/2021,12:25,7,S,Ebb,1,2,6,5,1,0,no,Mill,
10/7/2021,12:26,7,S,Ebb,1,2,6,5,1,0,no,Mill,
10/7/2021,12:27,7,S,Ebb,1,2,6,5,1,0,no,Mill,
