selection,date,begin_Time,time,end_Time,low_Freq,high_Freq,call_type,call_category
1,10/7/2021,9044.610279,12:00,9044.689021,5744.3,6019.7,flatws,ws
2,10/7/2021,9045.80623,12:00,9045.886965,5665.6,5901.6,flatws,ws
3,10/7/2021,9051.984538,12:00,9052.059343,5862.3,6216.4,aws,ws
4,10/7/2021,9053.165425,12:00,9053.43986,5744.3,6140.5,flatws,ws
5,10/7/2021,9054.464672,12:00,9054.555225,5468.9,5744.3,dws,ws
6,10/7/2021,9055.968649,12:00,9056.252121,5665.6,6100.3,flatws,ws
7,10/7/2021,9057.009535,12:00,9057.270587,5429.5,6060.2,aws,ws
8,10/7/2021,9061.165438,12:01,9061.441036,5979.9,6260.9,flatws,ws
9,10/7/2021,9064.031656,12:01,9064.193077,5819.4,6100.3,flatws,ws
10,10/7/2021,9067.70376,12:01,9067.873056,5658.9,6020.1,flatws,ws
11,10/7/2021,9070.266636,12:01,9070.65641,5618.7,6702.3,aws.seg,ws
12,10/7/2021,9072.762879,12:01,9073.24172,5618.7,6501.7,aws.seg,ws
13,10/7/2021,9074.329643,12:01,9074.53831,5618.7,5899.7,flatws,ws
14,10/7/2021,9075.811098,12:01,9076.252054,6060.2,6541.8,aws,ws
15,10/7/2021,9081.265589,12:01,9081.429842,5618.7,5939.8,flatws,ws
16,10/7/2021,9082.732735,12:01,9082.999995,5618.7,6020.1,flatws,ws
17,10/7/2021,9083.877166,12:01,9083.97182,5503.448,6000,dws,ws
18,10/7/2021,9084.038635,12:01,9084.500772,5751.724,6993.103,aws.seg,ws
19,10/7/2021,9086.896994,12:01,9087.349762,5418.1,6501.7,aws.seg,ws
20,10/7/2021,9088.240305,12:01,9088.689136,5337.8,6702.3,aws,ws
21,10/7/2021,9089.539552,12:01,9089.960823,5618.7,7023.4,aws,ws
22,10/7/2021,9110.948831,12:01,9111.141749,5658.9,6341.1,aws,ws
23,10/7/2021,9112.358317,12:01,9112.539424,5739.1,5979.9,flatws,ws
24,10/7/2021,9113.846545,12:01,9114.067023,5979.9,6301,flatws,ws
25,10/7/2021,9123.217138,12:02,9123.467705,5618.7,6372.414,aws,ws
26,10/7/2021,9125.839638,12:02,9126.090194,5779.3,6381.3,aws,ws
27,10/7/2021,9131.634113,12:02,9131.873533,5899.7,6341.1,aws,ws
28,10/7/2021,9133.929837,12:02,9134.013356,5498.3,5979.9,aws,ws
29,10/7/2021,9134.341863,12:02,9134.428166,5578.6,6140.5,aws,ws
30,10/7/2021,9163.838671,12:02,9163.956784,5819.4,6581.9,aws,ws
31,10/7/2021,9174.714908,12:02,9174.860511,5578.6,6220.7,aws,ws
