selection,date,begin_Time,time,end_Time,low_Freq,high_Freq,call_type,call_category
1,8/24/2022,573.4213412,10:09,573.7415652,1346.9,1795.9,,ws
2,8/24/2022,574.1516767,10:09,574.4662828,1224.5,1795.9,,ws
3,8/24/2022,664.595496,10:11,665.0674052,1306.1,1714.3,,ws
4,8/24/2022,668.882004,10:11,669.044925,1265.3,1632.7,,ws
5,8/24/2022,681.8988593,10:11,683.275261,1183.7,1673.5,,ws
6,8/24/2022,685.4662833,10:11,686.2471805,1142.9,1673.5,,ws
7,8/24/2022,686.5954944,10:11,686.7190896,1265.3,1591.8,,ws
8,8/24/2022,686.9325723,10:11,687.3651557,1142.9,1551,,ws
9,8/24/2022,700.8230004,10:11,701.0926628,1224.5,1632.7,,ws
10,8/24/2022,763.0702024,10:12,763.289303,1142.9,1591.8,,ws
11,8/24/2022,778.0982922,10:12,778.2443593,1306.1,1591.8,,ws
12,8/24/2022,785.5477305,10:13,785.7555952,1306.1,1714.3,,ws
13,8/24/2022,850.6038997,10:14,850.7555848,1265.3,1632.7,,ws
14,8/24/2022,851.6937851,10:14,851.9016498,1387.8,2040.8,,ws
15,8/24/2022,1304.115144,10:21,1304.317391,3591.8,4000,,ws
16,8/24/2022,1393.676943,10:23,1394.45784,816.3,9551,,pc
17,8/24/2022,1410.042108,10:23,1411.435364,653.1,9346.9,,pc
18,8/24/2022,1412.587047,10:23,1412.71626,244.9,6857.1,,pc
19,8/24/2022,1468.721886,10:24,1469.047728,898,7061.2,,pc
20,8/24/2022,1484.609525,10:24,1485.412894,734.7,10367.3,,pc
21,8/24/2022,1635.09267,10:27,1636.328623,163.3,24000,,pc
22,8/24/2022,1690.314606,10:28,1691.921344,3591.8,9877.6,,pc
23,8/24/2022,1692.370782,10:28,1694.078643,1142.9,9836.7,,pc
24,8/24/2022,1695.943808,10:28,1697.275266,979.6,12530.6,,cc
25,8/24/2022,1721.882019,10:28,1723.337072,163.3,24000,,cc
26,8/24/2022,1724.785791,10:28,1724.907839,139.265,24000,,pc
27,8/24/2022,1725.320278,10:28,1727.157288,244.9,24000,,cc
28,8/24/2022,1728.643093,10:28,1728.732174,232.108,24000,,pc
29,8/24/2022,1729.242906,10:28,1730.773601,204.1,24000,,cc
30,8/24/2022,1732.182587,10:28,1732.317418,326.5,23918.4,,pc
31,8/24/2022,1733.126405,10:28,1733.247754,204.1,23918.4,,pc
32,8/24/2022,1734.683706,10:28,1736.308422,204.1,24000,,cc
33,8/24/2022,1739.463491,10:28,1741.276971,204.1,24000,,cc
34,8/24/2022,1741.856745,10:29,1742.760114,653.1,11836.7,,cc
35,8/24/2022,1743.232706,10:29,1743.353372,285.7,24000,,pc
36,8/24/2022,1744.310673,10:29,1746.063479,285.7,24000,,cc
37,8/24/2022,1746.919658,10:29,1747.951117,204.1,23860.735,,cc
38,8/24/2022,1747.984225,10:29,1748.073306,232.108,24000,,pc
39,8/24/2022,1748.453386,10:29,1749.852255,40.8,24000,,cc
40,8/24/2022,1749.834768,10:29,1750.539894,204.1,23836.7,,cc
41,8/24/2022,1751.227533,10:29,1751.328656,244.9,23959.2,,pc
42,8/24/2022,1752.144385,10:29,1753.802809,122.4,24000,,cc
43,8/24/2022,1754.389325,10:29,1755.906177,244.9,23814.313,,cc
44,8/24/2022,1755.683705,10:29,1757.21404,122.4,23959.2,,cc
45,8/24/2022,1757.557859,10:29,1758.656734,367.3,23836.7,,cc
46,8/24/2022,1758.271531,10:29,1758.384367,324.952,24000,,pc
47,8/24/2022,1758.65161,10:29,1759.978097,163.3,24000,,cc
48,8/24/2022,1760.402816,10:29,1761.515173,122.4,23959.2,,cc
49,8/24/2022,1761.771353,10:29,1762.944384,163.3,24000,,cc
50,8/24/2022,1763.382586,10:29,1764.30618,122.4,23755.1,,cc
51,8/24/2022,1764.174825,10:29,1764.302508,139.265,24000,,pc
52,8/24/2022,1764.641016,10:29,1765.715166,163.3,24000,,cc
53,8/24/2022,1765.937638,10:29,1766.962355,122.4,20489.8,,cc
54,8/24/2022,1766.989321,10:29,1768.027522,204.1,23918.4,,cc
55,8/24/2022,1768.762369,10:29,1769.706188,122.4,23836.7,,cc
56,8/24/2022,1769.834278,10:29,1769.971672,204.1,24000,,pc
57,8/24/2022,1879.560114,10:31,1880.497191,1551,2204.1,,ws
58,8/24/2022,1882.135391,10:31,1882.317413,5387.8,7183.7,,ws
59,8/24/2022,1886.06574,10:31,1886.753379,326.5,7795.9,,pc
60,8/24/2022,1887.225288,10:31,1887.670231,1142.9,7510.2,,pc
61,8/24/2022,2153.056157,10:35,2154.716839,612.2,3102,,ws
62,8/24/2022,2279.388757,10:37,2279.799993,1224.5,2775.5,,ws
63,8/24/2022,2281.835944,10:38,2282.604482,1265.3,1673.5,,ws
64,8/24/2022,2318.82303,10:38,2319.050558,660.55,1321.101,,ws
65,8/24/2022,2319.446624,10:38,2319.648871,704.587,1321.101,,ws
66,8/24/2022,2319.884826,10:38,2320.019657,616.514,1541.284,,ws
67,8/24/2022,2321.216285,10:38,2321.410105,616.514,1453.211,,ws
68,8/24/2022,2323.078642,10:38,2323.761225,880.734,2113.761,,ws
69,8/24/2022,2326.474705,10:38,2327.629197,352.294,1717.431,,ws
70,8/24/2022,2331.067414,10:38,2331.261234,528.44,1277.064,,ws
71,8/24/2022,2331.396065,10:38,2331.598312,396.33,1188.991,,ws
72,8/24/2022,2331.749997,10:38,2331.884828,440.367,1188.991,,ws
73,8/24/2022,2340.674142,10:39,2342.039308,660.55,1497.248,,ws
74,8/24/2022,2349.278081,10:39,2349.556171,1188.991,1717.431,,ws
75,8/24/2022,2366.856727,10:39,2367.143244,484.404,1277.064,,ws
76,8/24/2022,2367.775265,10:39,2368.390433,1012.844,2422.018,,ws
77,8/24/2022,2369.207848,10:39,2369.620768,616.514,1629.358,,ws
78,8/24/2022,2383.127081,10:39,2383.362243,776.831,1390.119,,ws
79,8/24/2022,2392.713313,10:39,2393.007266,408.859,1308.348,,ws
80,8/24/2022,2398.92329,10:39,2399.267634,163.543,1431.005,,ws
81,8/24/2022,2442.975916,10:40,2443.370653,1839.864,2166.951,,ws
82,8/24/2022,2462.21219,10:41,2462.489346,776.831,1553.663,,ws
83,8/24/2022,2470.211078,10:41,2470.454639,286.201,2126.065,,ws
84,8/24/2022,2487.927198,10:41,2488.145563,817.717,1676.32,,ws
85,8/24/2022,2496.245234,10:41,2497.219477,695.06,1431.005,,ws
86,8/24/2022,2502.980947,10:41,2503.535258,327.087,2657.581,,ws
87,8/24/2022,2525.235713,10:42,2525.664044,1103.918,1717.206,,ws
88,8/24/2022,2530.619244,10:42,2531.089568,286.201,2289.608,,ws
89,8/24/2022,2540.482631,10:42,2540.700996,654.174,1308.348,,ws
90,8/24/2022,2564.568301,10:42,2565.038625,572.402,1676.32,,ws
91,8/24/2022,2566.340415,10:42,2566.693158,613.288,1839.864,,ws
92,8/24/2022,2590.367301,10:43,2590.703246,490.63,1839.864,,ws
93,8/24/2022,2594.432244,10:43,2594.76819,695.06,1431.005,,ws
94,8/24/2022,2600.129904,10:43,2600.566633,695.06,1390.119,,ws
95,8/24/2022,2606.756434,10:43,2606.974799,654.174,1308.348,,ws
96,8/24/2022,2630.262598,10:43,2631.43001,613.288,1594.549,,ws
