time,encounter,minute,behavior,call_type,call_category,t_index
10H 59M 0S,3,15,Travel,flatws,ws,-3
10H 59M 0S,3,15,Travel,flatws,ws,-3
10H 59M 0S,3,15,Travel,dws,ws,-3
10H 59M 0S,3,15,Travel,uws,ws,-3
10H 59M 0S,3,15,Travel,uws,ws,-3
10H 59M 0S,3,15,Travel,aws,ws,-3
10H 59M 0S,3,15,Travel,modws,ws,-3
10H 59M 0S,3,15,Travel,dws,ws,-3
10H 59M 0S,3,15,Travel,modws.seg,ws,-3
11H 0M 0S,3,16,Travel,dws.seg,ws,-2
11H 0M 0S,3,16,Travel,dws,ws,-2
11H 1M 0S,3,17,Travel,flatws,ws,-1
11H 2M 0S,3,18,Mill,dws,ws,0
11H 3M 0S,3,19,Mill,flatws,ws,1
11H 4M 0S,3,20,Mill,NA,NA,2
11H 5M 0S,3,21,Mill,NA,NA,3
11H 6M 0S,3,22,Mill,NA,NA,4
11H 7M 0S,3,23,Mill,flatws,ws,5
11H 8M 0S,3,24,Mill,NA,NA,6
11H 9M 0S,3,25,Mill,NA,NA,7
11H 10M 0S,3,26,Mill,NA,NA,8
11H 11M 0S,3,27,Mill,NA,NA,9
11H 12M 0S,3,28,Mill,NA,NA,10
11H 13M 0S,3,29,Mill,c.8,cc,11
11H 14M 0S,3,30,Mill,NA,NA,12
11H 15M 0S,3,31,Mill,NA,NA,13
11H 16M 0S,3,32,Mill,NA,NA,14
11H 17M 0S,3,33,Mill,NA,NA,15
11H 18M 0S,3,34,Mill,NA,NA,16
11H 19M 0S,3,35,Mill,NA,NA,17
11H 20M 0S,3,36,Mill,NA,NA,18
11H 21M 0S,3,37,Mill,NA,NA,19
11H 22M 0S,3,38,Mill,NA,NA,20
11H 23M 0S,3,39,Travel,NA,NA,-10
11H 24M 0S,3,40,Travel,NA,NA,-9
11H 25M 0S,3,41,Travel,NA,NA,-8
11H 26M 0S,3,42,Travel,NA,NA,-7
11H 27M 0S,3,43,Travel,NA,NA,-6
11H 28M 0S,3,44,Travel,NA,NA,-5
11H 29M 0S,3,45,Travel,NA,NA,-4
11H 30M 0S,3,46,Travel,NA,NA,-3
11H 31M 0S,3,47,Travel,NA,NA,-2
11H 32M 0S,3,48,Travel,NA,NA,-1
13H 7M 0S,4,1,Mill,NA,NA,0
13H 8M 0S,4,2,Mill,NA,NA,1
13H 9M 0S,4,3,Mill,NA,NA,2
13H 10M 0S,4,4,Mill,NA,NA,3
13H 11M 0S,4,5,Mill,NA,NA,4
13H 12M 0S,4,6,Mill,NA,NA,5
13H 13M 0S,4,7,Mill,NA,NA,6
13H 14M 0S,4,8,Mill,NA,NA,7
13H 15M 0S,4,9,Mill,modws.seg,ws,8
13H 16M 0S,4,10,Mill,dws,ws,9
13H 16M 0S,4,10,Mill,dws,ws,9
13H 16M 0S,4,10,Mill,flatws,ws,9
13H 16M 0S,4,10,Mill,dws,ws,9
13H 16M 0S,4,10,Mill,dws,ws,9
13H 16M 0S,4,10,Mill,dws,ws,9
13H 16M 0S,4,10,Mill,nws.seg,ws,9
13H 16M 0S,4,10,Mill,flatws.seg,ws,9
13H 17M 0S,4,11,Mill,dws.seq,ws,10
13H 17M 0S,4,11,Mill,flatws.seg,ws,10
13H 17M 0S,4,11,Mill,aws,ws,10
13H 17M 0S,4,11,Mill,flatws,ws,10
13H 18M 0S,4,12,Mill,pulse.n,pc,11
13H 18M 0S,4,12,Mill,pulse.n,pc,11
13H 18M 0S,4,12,Mill,dws,ws,11
13H 18M 0S,4,12,Mill,dws,ws,11
13H 19M 0S,4,13,Mill,aws,ws,12
13H 19M 0S,4,13,Mill,uws,ws,12
13H 19M 0S,4,13,Mill,dws,ws,12
13H 19M 0S,4,13,Mill,aws,ws,12
13H 19M 0S,4,13,Mill,uws,ws,12
13H 19M 0S,4,13,Mill,dws,ws,12
13H 19M 0S,4,13,Mill,trill,ws,12
13H 19M 0S,4,13,Mill,dws,ws,12
13H 19M 0S,4,13,Mill,dws,ws,12
13H 19M 0S,4,13,Mill,dws,ws,12
13H 19M 0S,4,13,Mill,pulse.d,pc,12
13H 19M 0S,4,13,Mill,dws,ws,12
13H 19M 0S,4,13,Mill,pulse.flat.seg,pc,12
13H 19M 0S,4,13,Mill,pulse.flat.seg,pc,12
13H 19M 0S,4,13,Mill,pulse.flat.seg,pc,12
13H 19M 0S,4,13,Mill,uws,ws,12
13H 19M 0S,4,13,Mill,uws,ws,12
13H 19M 0S,4,13,Mill,uws,ws,12
13H 19M 0S,4,13,Mill,uws,ws,12
13H 19M 0S,4,13,Mill,modws.seg,ws,12
13H 19M 0S,4,13,Mill,uws,ws,12
13H 19M 0S,4,13,Mill,pulse.flat,pc,12
13H 19M 0S,4,13,Mill,uws,ws,12
13H 19M 0S,4,13,Mill,uws,ws,12
13H 19M 0S,4,13,Mill,pulse.a,pc,12
13H 19M 0S,4,13,Mill,uws,ws,12
13H 19M 0S,4,13,Mill,modws,ws,12
13H 19M 0S,4,13,Mill,pulse.d,pc,12
13H 19M 0S,4,13,Mill,flatws.seg,ws,12
13H 19M 0S,4,13,Mill,pulse.d.bc,pc,12
13H 20M 0S,4,14,Mill,aws,ws,13
13H 20M 0S,4,14,Mill,aws,ws,13
13H 20M 0S,4,14,Mill,modws.seg,ws,13
13H 20M 0S,4,14,Mill,pulse.flat,pc,13
13H 20M 0S,4,14,Mill,uws,ws,13
13H 20M 0S,4,14,Mill,aws,ws,13
13H 20M 0S,4,14,Mill,aws,ws,13
13H 20M 0S,4,14,Mill,aws,ws,13
13H 20M 0S,4,14,Mill,aws,ws,13
13H 20M 0S,4,14,Mill,aws,ws,13
13H 20M 0S,4,14,Mill,uws,ws,13
13H 20M 0S,4,14,Mill,nws.seq,ws,13
13H 20M 0S,4,14,Mill,nws.seq,ws,13
13H 20M 0S,4,14,Mill,nws.seq,ws,13
13H 20M 0S,4,14,Mill,nws.seq,ws,13
13H 20M 0S,4,14,Mill,aws,ws,13
13H 20M 0S,4,14,Mill,pulse.d,pc,13
13H 20M 0S,4,14,Mill,pulse.n,pc,13
13H 20M 0S,4,14,Mill,aws,ws,13
13H 20M 0S,4,14,Mill,pulse.mod.bc,pc,13
13H 20M 0S,4,14,Mill,pulse.n,pc,13
13H 20M 0S,4,14,Mill,dws,ws,13
13H 20M 0S,4,14,Mill,flatws,ws,13
13H 20M 0S,4,14,Mill,pulse.mod,pc,13
13H 20M 0S,4,14,Mill,rws,ws,13
13H 20M 0S,4,14,Mill,rws,ws,13
13H 20M 0S,4,14,Mill,pulse.flat.seg,pc,13
13H 20M 0S,4,14,Mill,pulse.n,pc,13
13H 20M 0S,4,14,Mill,pulse.d,pc,13
13H 20M 0S,4,14,Mill,nws,ws,13
13H 20M 0S,4,14,Mill,rws,ws,13
13H 20M 0S,4,14,Mill,flatws,ws,13
13H 20M 0S,4,14,Mill,pulse.flat,pc,13
13H 20M 0S,4,14,Mill,modws,ws,13
13H 20M 0S,4,14,Mill,pulse.a,pc,13
13H 20M 0S,4,14,Mill,pulse.d,pc,13
13H 20M 0S,4,14,Mill,pulse.flat,pc,13
13H 20M 0S,4,14,Mill,dws,ws,13
13H 20M 0S,4,14,Mill,modws,ws,13
13H 20M 0S,4,14,Mill,modws,ws,13
13H 20M 0S,4,14,Mill,pulse.flat,pc,13
13H 20M 0S,4,14,Mill,pulse.flat,pc,13
13H 20M 0S,4,14,Mill,dws,ws,13
13H 21M 0S,4,15,Mill,pulse.d,pc,14
13H 21M 0S,4,15,Mill,pulse.flat,pc,14
13H 21M 0S,4,15,Mill,pulse.flat,pc,14
13H 21M 0S,4,15,Mill,pulse.a,pc,14
13H 21M 0S,4,15,Mill,pulse.flat,pc,14
13H 21M 0S,4,15,Mill,aws,ws,14
13H 21M 0S,4,15,Mill,modws,ws,14
13H 21M 0S,4,15,Mill,pulse.flat.seg,pc,14
13H 21M 0S,4,15,Mill,dws,ws,14
13H 21M 0S,4,15,Mill,pulse.flat,pc,14
13H 21M 0S,4,15,Mill,pulse.flat,pc,14
13H 21M 0S,4,15,Mill,pulse.a,pc,14
13H 21M 0S,4,15,Mill,pulse.a,pc,14
13H 21M 0S,4,15,Mill,pulse.flat.seg,pc,14
13H 21M 0S,4,15,Mill,pulse.d,pc,14
13H 21M 0S,4,15,Mill,pulse.flat.seg,pc,14
13H 21M 0S,4,15,Mill,pulse.n,pc,14
13H 21M 0S,4,15,Mill,pulse.d,pc,14
13H 21M 0S,4,15,Mill,pulse.d,pc,14
13H 21M 0S,4,15,Mill,pulse.n,pc,14
13H 21M 0S,4,15,Mill,pulse.d,pc,14
13H 21M 0S,4,15,Mill,pulse.a,pc,14
13H 21M 0S,4,15,Mill,pulse.d,pc,14
13H 21M 0S,4,15,Mill,modws,ws,14
13H 21M 0S,4,15,Mill,pulse.mod.seg,pc,14
13H 21M 0S,4,15,Mill,modws.sa.seq,ws,14
13H 21M 0S,4,15,Mill,flatws,ws,14
13H 21M 0S,4,15,Mill,dws,ws,14
13H 21M 0S,4,15,Mill,aws,ws,14
13H 21M 0S,4,15,Mill,pulse.mod.seg,pc,14
13H 21M 0S,4,15,Mill,pulse.mod.bc,pc,14
13H 21M 0S,4,15,Mill,pulse.flat.seg,pc,14
13H 21M 0S,4,15,Mill,pulse.mod.seg,pc,14
13H 21M 0S,4,15,Mill,pulse.flat.seg.2,pc,14
13H 21M 0S,4,15,Mill,modws.seg,ws,14
13H 21M 0S,4,15,Mill,modws,ws,14
13H 21M 0S,4,15,Mill,pulse.d,pc,14
13H 21M 0S,4,15,Mill,pulse.a,pc,14
13H 21M 0S,4,15,Mill,modws.seg,ws,14
13H 21M 0S,4,15,Mill,pulse.flat.seg,pc,14
13H 21M 0S,4,15,Mill,pulse.d,pc,14
13H 21M 0S,4,15,Mill,pulse.d,pc,14
13H 21M 0S,4,15,Mill,aws,ws,14
13H 21M 0S,4,15,Mill,pulse.flat,pc,14
13H 21M 0S,4,15,Mill,pulse.d,pc,14
13H 21M 0S,4,15,Mill,pulse.a,pc,14
13H 21M 0S,4,15,Mill,pulse.d,pc,14
13H 21M 0S,4,15,Mill,pulse.flat,pc,14
13H 21M 0S,4,15,Mill,pulse.flat.seg,pc,14
13H 21M 0S,4,15,Mill,pulse.d,pc,14
13H 21M 0S,4,15,Mill,flatws,ws,14
13H 21M 0S,4,15,Mill,modws,ws,14
13H 22M 0S,4,16,Mill,pulse.a,pc,15
13H 22M 0S,4,16,Mill,c.9,cc,15
13H 22M 0S,4,16,Mill,pulse.flat.seg,pc,15
13H 22M 0S,4,16,Mill,modws.seg,ws,15
13H 22M 0S,4,16,Mill,c.9,cc,15
13H 22M 0S,4,16,Mill,aws,ws,15
13H 22M 0S,4,16,Mill,pulse.mod,pc,15
13H 22M 0S,4,16,Mill,aws,ws,15
13H 22M 0S,4,16,Mill,aws,ws,15
13H 22M 0S,4,16,Mill,aws,ws,15
13H 22M 0S,4,16,Mill,aws,ws,15
13H 22M 0S,4,16,Mill,aws,ws,15
13H 22M 0S,4,16,Mill,aws,ws,15
13H 22M 0S,4,16,Mill,aws,ws,15
13H 22M 0S,4,16,Mill,aws,ws,15
13H 22M 0S,4,16,Mill,aws,ws,15
13H 22M 0S,4,16,Mill,modws,ws,15
13H 22M 0S,4,16,Mill,pulse.d,pc,15
13H 22M 0S,4,16,Mill,pulse.d,pc,15
13H 22M 0S,4,16,Mill,pulse.d,pc,15
13H 22M 0S,4,16,Mill,c.9,cc,15
13H 22M 0S,4,16,Mill,pulse.flat,pc,15
13H 22M 0S,4,16,Mill,pulse.flat.seg,pc,15
13H 22M 0S,4,16,Mill,flatws,ws,15
13H 22M 0S,4,16,Mill,flatws,ws,15
13H 22M 0S,4,16,Mill,aws,ws,15
13H 22M 0S,4,16,Mill,pulse.a,pc,15
13H 22M 0S,4,16,Mill,pulse.flat.seg,pc,15
13H 22M 0S,4,16,Mill,pulse.flat.seg.2,pc,15
13H 22M 0S,4,16,Mill,pulse.flat,pc,15
13H 22M 0S,4,16,Mill,pulse.d,pc,15
13H 22M 0S,4,16,Mill,c.9,cc,15
13H 22M 0S,4,16,Mill,pulse.flat.seg,pc,15
13H 22M 0S,4,16,Mill,pulse.a,pc,15
13H 22M 0S,4,16,Mill,dws,ws,15
13H 22M 0S,4,16,Mill,pulse.flat.seg.4,pc,15
13H 22M 0S,4,16,Mill,aws,ws,15
13H 22M 0S,4,16,Mill,pulse.a,pc,15
13H 22M 0S,4,16,Mill,modws,ws,15
13H 22M 0S,4,16,Mill,pulse.flat.seg,pc,15
13H 22M 0S,4,16,Mill,c.10,cc,15
13H 22M 0S,4,16,Mill,c.10,cc,15
13H 22M 0S,4,16,Mill,c.10,cc,15
13H 22M 0S,4,16,Mill,flatws,ws,15
13H 22M 0S,4,16,Mill,flatws,ws,15
13H 22M 0S,4,16,Mill,pulse.d,pc,15
13H 22M 0S,4,16,Mill,pulse.flat,pc,15
13H 22M 0S,4,16,Mill,modws.seg,ws,15
13H 22M 0S,4,16,Mill,modws.seg,ws,15
13H 22M 0S,4,16,Mill,modws.seg,ws,15
13H 22M 0S,4,16,Mill,pulse.mod,pc,15
13H 22M 0S,4,16,Mill,flatws.seg,ws,15
13H 22M 0S,4,16,Mill,nws,ws,15
13H 22M 0S,4,16,Mill,pulse.flat.seg,pc,15
13H 22M 0S,4,16,Mill,pulse.a,pc,15
13H 22M 0S,4,16,Mill,pulse.flat,pc,15
13H 22M 0S,4,16,Mill,dws,ws,15
13H 22M 0S,4,16,Mill,pulse.flat.seg,pc,15
13H 22M 0S,4,16,Mill,pulse.flat.seg,pc,15
13H 23M 0S,4,17,Mill,pulse.flat.seg,pc,16
13H 23M 0S,4,17,Mill,modws,ws,16
13H 23M 0S,4,17,Mill,pulse.flat.seg,pc,16
13H 23M 0S,4,17,Mill,nws,ws,16
13H 23M 0S,4,17,Mill,pulse.a,pc,16
13H 23M 0S,4,17,Mill,pulse.flat,pc,16
13H 23M 0S,4,17,Mill,flatws,ws,16
13H 23M 0S,4,17,Mill,flatws.seg,ws,16
13H 23M 0S,4,17,Mill,pulse.flat.seg,pc,16
13H 23M 0S,4,17,Mill,dws,ws,16
13H 23M 0S,4,17,Mill,pulse.flat,pc,16
13H 23M 0S,4,17,Mill,c.11,cc,16
13H 23M 0S,4,17,Mill,pulse.d,pc,16
13H 23M 0S,4,17,Mill,pulse.flat,pc,16
13H 23M 0S,4,17,Mill,trill,ws,16
13H 23M 0S,4,17,Mill,pulse.flat.seg,pc,16
13H 23M 0S,4,17,Mill,pulse.flat,pc,16
13H 23M 0S,4,17,Mill,pulse.flat,pc,16
13H 23M 0S,4,17,Mill,modws.m,ws,16
13H 23M 0S,4,17,Mill,modws.m,ws,16
13H 23M 0S,4,17,Mill,modws.m,ws,16
13H 23M 0S,4,17,Mill,flatws,ws,16
13H 23M 0S,4,17,Mill,modws.m,ws,16
13H 23M 0S,4,17,Mill,pulse.flat.seg,pc,16
13H 23M 0S,4,17,Mill,pulse.flat.seg,pc,16
13H 23M 0S,4,17,Mill,nws,ws,16
13H 23M 0S,4,17,Mill,aws,ws,16
13H 23M 0S,4,17,Mill,aws,ws,16
13H 23M 0S,4,17,Mill,aws,ws,16
13H 23M 0S,4,17,Mill,dws,ws,16
13H 23M 0S,4,17,Mill,trill,ws,16
13H 23M 0S,4,17,Mill,modws,ws,16
13H 23M 0S,4,17,Mill,c.12,cc,16
13H 24M 0S,4,18,Travel,pulse.mod,pc,-7
13H 24M 0S,4,18,Travel,pulse.d,pc,-7
13H 24M 0S,4,18,Travel,c.12,cc,-7
13H 24M 0S,4,18,Travel,nws,ws,-7
13H 24M 0S,4,18,Travel,nws,ws,-7
13H 24M 0S,4,18,Travel,flatws,ws,-7
13H 24M 0S,4,18,Travel,flatws,ws,-7
13H 24M 0S,4,18,Travel,flatws,ws,-7
13H 24M 0S,4,18,Travel,pulse.flat.seg,pc,-7
13H 24M 0S,4,18,Travel,flatws,ws,-7
13H 24M 0S,4,18,Travel,dws,ws,-7
13H 24M 0S,4,18,Travel,pulse.mod,pc,-7
13H 24M 0S,4,18,Travel,pulse.flat,pc,-7
13H 24M 0S,4,18,Travel,pulse.a,pc,-7
13H 24M 0S,4,18,Travel,pulse.flat,pc,-7
13H 24M 0S,4,18,Travel,flatws,ws,-7
13H 24M 0S,4,18,Travel,modws,ws,-7
13H 24M 0S,4,18,Travel,pulse.flat,pc,-7
13H 24M 0S,4,18,Travel,c.13,cc,-7
13H 24M 0S,4,18,Travel,c.13,cc,-7
13H 24M 0S,4,18,Travel,c.13,cc,-7
13H 24M 0S,4,18,Travel,c.13,cc,-7
13H 24M 0S,4,18,Travel,c.13,cc,-7
13H 25M 0S,4,19,Travel,pulse.d,pc,-6
13H 25M 0S,4,19,Travel,pulse.flat,pc,-6
13H 25M 0S,4,19,Travel,pulse.a,pc,-6
13H 25M 0S,4,19,Travel,pulse.flat,pc,-6
13H 25M 0S,4,19,Travel,pulse.flat,pc,-6
13H 26M 0S,4,20,Travel,pulse.flat.seg,pc,-5
13H 26M 0S,4,20,Travel,aws,ws,-5
13H 26M 0S,4,20,Travel,modws,ws,-5
13H 26M 0S,4,20,Travel,aws,ws,-5
