minute,calf_presence,t_index,flatws,pulse.flat,dws,aws,pulse.flat.seg,flatws.seg,pulse.d,aws.seg,uws,pulse.mod,modws
21,yes,20,0,0,0,0,0,0,0,0,0,0,0
22,yes,21,0,0,0,0,0,0,0,0,0,0,0
23,yes,22,1,0,0,0,0,0,0,0,0,0,0
24,yes,23,0,0,0,0,0,0,0,0,0,0,0
25,yes,24,0,0,0,0,0,0,0,0,0,0,0
26,yes,25,0,0,0,0,0,0,0,0,0,0,0
27,yes,26,0,0,0,0,0,0,0,0,0,0,0
28,yes,27,0,0,0,0,0,0,0,0,0,0,0
29,yes,28,0,0,0,0,0,0,0,0,0,0,0
30,yes,29,0,0,0,0,0,0,0,0,0,0,0
31,yes,30,0,0,0,0,0,0,0,0,0,0,0
32,yes,31,0,0,0,0,0,0,0,0,0,0,0
33,yes,32,0,0,0,0,0,0,0,0,0,0,0
34,yes,33,0,0,0,0,0,0,0,0,0,0,0
35,yes,34,0,0,0,0,0,0,0,0,0,0,0
36,yes,35,0,0,0,0,0,0,0,0,0,0,0
37,yes,36,0,0,0,0,0,0,0,0,0,0,0
38,yes,37,0,0,0,0,0,0,0,0,0,0,0
39,no,-10,0,0,0,0,0,0,0,0,0,0,0
40,no,-9,0,0,0,0,0,0,0,0,0,0,0
41,no,-8,0,0,0,0,0,0,0,0,0,0,0
42,no,-7,0,0,0,0,0,0,0,0,0,0,0
43,no,-6,0,0,0,0,0,0,0,0,0,0,0
44,no,-5,0,0,0,0,0,0,0,0,0,0,0
45,no,-4,0,0,0,0,0,0,0,0,0,0,0
46,no,-3,0,0,0,0,0,0,0,0,0,0,0
47,no,-2,0,0,0,0,0,0,0,0,0,0,0
48,no,-1,0,0,0,0,0,0,0,0,0,0,0
