minute,calf_presence,t_index,ws,pc,cc
110,no,-17,0,0,0
111,no,-16,0,0,0
112,no,-15,0,0,0
113,no,-14,2,0,0
114,no,-13,1,2,0
115,no,-12,1,4,0
116,no,-11,0,0,0
117,no,-10,0,0,0
118,no,-9,3,1,0
119,no,-8,1,1,0
120,no,-7,0,0,0
121,no,-6,0,0,0
122,no,-5,0,2,0
123,no,-4,2,2,0
124,no,-3,0,0,0
125,no,-2,1,0,0
126,no,-1,0,1,0
127,yes,0,1,0,0
128,yes,1,0,0,0
129,yes,2,0,0,0
130,yes,3,0,0,0
131,yes,4,0,2,0
132,yes,5,0,0,0
133,yes,6,0,0,0
134,yes,7,0,0,0
135,yes,8,0,1,0
136,yes,9,0,0,0
137,yes,10,0,0,0
138,yes,11,0,0,0
139,yes,12,0,0,0
140,yes,13,0,0,0
141,yes,14,0,0,0
142,yes,15,0,0,0
143,yes,16,0,0,0
144,yes,17,0,0,0
145,yes,18,0,0,0
146,yes,19,0,0,0
147,yes,20,0,0,0
148,no,-21,0,0,0
149,no,-20,0,0,0
150,no,-19,0,0,0
151,no,-18,0,0,0
152,no,-17,0,0,0
153,no,-16,0,0,0
154,no,-15,0,0,0
155,no,-14,0,0,0
156,no,-13,0,0,0
157,no,-12,0,0,0
158,no,-11,0,0,0
159,no,-10,0,0,0
160,no,-9,0,0,0
161,no,-8,0,0,0
162,no,-7,0,0,0
163,no,-6,0,0,0
164,no,-5,0,0,0
165,no,-4,0,2,0
166,no,-3,0,0,0
167,no,-2,0,0,0
168,no,-1,0,0,0
1,no,-21,0,0,0
2,no,-20,0,0,0
3,no,-19,0,0,0
4,no,-18,0,0,0
5,no,-17,0,0,0
6,no,-16,0,0,0
7,no,-15,0,0,0
8,no,-14,0,0,0
9,no,-13,0,0,0
10,no,-12,0,0,0
11,no,-11,0,0,0
12,no,-10,0,0,0
13,no,-9,0,0,0
14,no,-8,0,0,0
15,no,-7,0,0,0
16,no,-6,0,0,0
17,no,-5,0,0,0
18,no,-4,0,0,0
19,no,-3,0,0,0
20,no,-2,0,0,0
21,no,-1,0,0,0
22,yes,0,0,0,0
23,yes,1,0,0,0
24,yes,2,0,0,0
25,yes,3,0,0,0
26,yes,4,0,0,0
27,yes,5,0,0,0
28,yes,6,0,0,0
29,yes,7,0,0,0
30,yes,8,0,0,0
31,yes,9,0,0,0
32,yes,10,0,0,0
33,yes,11,0,0,0
34,yes,12,0,0,0
35,yes,13,0,0,0
36,yes,14,0,0,0
37,yes,15,0,0,0
38,yes,16,0,0,0
39,yes,17,0,0,0
40,yes,18,0,0,0
41,yes,19,0,0,0
42,yes,20,0,0,0
43,yes,21,0,0,0
44,yes,22,0,0,0
45,yes,23,0,0,0
46,yes,24,0,0,0
47,yes,25,0,0,0
48,yes,26,0,0,0
49,yes,27,0,0,0
50,yes,28,0,0,0
51,yes,29,0,0,0
52,yes,30,0,0,0
53,yes,31,0,0,0
54,yes,32,0,0,0
55,yes,33,0,0,0
56,yes,34,0,0,0
57,yes,35,0,0,0
58,yes,36,0,0,0
59,yes,37,4,0,0
60,yes,38,22,0,0
61,yes,39,29,0,0
62,yes,40,11,3,0
63,yes,41,17,6,0
