date,time,encounter,dot,tide,sample_round,group_number,group_size,count_white,count_gray,count_calf,calf_presence ,behavior,comments
9/6/2021,11:00,1,S,Ebb,1,3,1,1,0,0,no,Travel,
9/6/2021,11:01,1,S,Ebb,1,3,1,1,0,0,no,Travel,
9/6/2021,11:02,1,S,Ebb,1,3,1,1,0,0,no,Travel,
9/6/2021,11:03,1,S,Ebb,1,3,1,1,0,0,no,Travel,
9/6/2021,11:04,1,S,Ebb,1,3,1,1,0,0,no,Travel,
9/6/2021,11:05,1,S,Ebb,1,3,1,1,0,0,no,Travel,
9/6/2021,11:06,1,S,Ebb,1,3,1,1,0,0,no,Travel,1w spotted traveling towards ER mouth (34A)
9/6/2021,11:07,1,S,Ebb,1,3,1,1,0,0,no,Travel,
9/6/2021,11:08,1,S,Ebb,1,3,1,1,0,0,no,Travel,
9/6/2021,11:09,1,S,Ebb,1,3,1,1,0,0,no,Travel,
9/6/2021,11:10,1,S,Ebb,1,3,1,1,0,0,no,Travel,
9/6/2021,11:11,1,S,Ebb,1,3,1,1,0,0,no,Travel,
9/6/2021,11:12,1,S,Ebb,1,3,1,1,0,0,no,Travel,
9/6/2021,11:13,1,S,Ebb,1,3,1,1,0,0,no,Travel,
9/6/2021,11:14,1,S,Ebb,1,3,9,6,1,2,yes,Mill,
9/6/2021,11:15,1,S,Ebb,1,3,9,6,1,2,yes,Mill,2w+1c traveling towards ER mouth (33G)
9/6/2021,11:16,1,S,Ebb,1,3,9,6,1,2,yes,Mill,4w+1c behind other group towards ER mouth (33D)
9/6/2021,11:17,1,S,Ebb,1,3,9,6,1,2,yes,Mill,
9/6/2021,11:18,1,S,Ebb,1,3,9,6,1,2,yes,Mill,
9/6/2021,11:19,1,S,Ebb,1,3,9,6,1,2,yes,Mill,2w+1c milling in ER mouth (33K)
9/6/2021,11:20,1,S,Ebb,1,3,9,6,1,2,yes,Mill,5w+1g traveling south (32K)
9/6/2021,11:21,1,S,Ebb,1,3,9,6,1,2,yes,Mill,
9/6/2021,11:22,1,S,Ebb,1,3,9,6,1,2,yes,Mill,
9/6/2021,11:23,1,S,Ebb,1,3,9,6,1,2,yes,Mill,
9/6/2021,11:24,1,S,Ebb,1,3,9,6,1,2,yes,Mill,
9/6/2021,11:25,1,S,Ebb,1,3,9,6,1,2,yes,Mill,
9/6/2021,11:26,1,S,Ebb,1,3,9,6,1,2,yes,Mill,
9/6/2021,11:27,1,S,Ebb,1,3,9,6,1,2,yes,Mill,
9/6/2021,11:28,1,S,Ebb,1,3,9,6,1,2,yes,Mill,5w+1g milling (32A & 26F)
9/6/2021,11:29,1,S,Ebb,1,3,9,6,1,2,yes,Mill,
9/6/2021,11:30,1,S,Ebb,1,3,9,6,1,2,yes,Mill,1w+1c up river out of view
9/6/2021,11:31,1,S,Ebb,1,3,9,6,1,2,yes,Mill,
9/6/2021,11:32,1,S,Ebb,1,3,9,6,1,2,yes,Mill,
9/6/2021,11:33,1,S,Ebb,1,3,9,6,1,2,yes,Mill,
9/6/2021,11:34,1,S,Ebb,1,3,9,6,1,2,yes,Mill,
9/6/2021,11:35,1,S,Ebb,1,3,2,1,0,1,yes,Travel,1w+1c came downriver to mill
9/6/2021,11:36,1,S,Ebb,1,3,2,1,0,1,yes,Travel,
9/6/2021,11:37,1,S,Ebb,1,3,2,1,0,1,yes,Travel,
9/6/2021,11:38,1,S,Ebb,1,3,2,1,0,1,yes,Travel,
