selection,date,begin_Time,time,end_Time,low_Freq,high_Freq,call_type,call_category
1,9/7/2022,4600.550373,14:16,4601.474223,1034.8,1950.2,,ws
2,9/7/2022,4608.834814,14:16,4609.288341,1114.4,2029.9,,ws
3,9/7/2022,4613.546454,14:16,4614.033575,716.4,1711.4,,ws
4,9/7/2022,4619.282728,14:16,4619.811843,995,1791,,ws
5,9/7/2022,4621.8057,14:17,4622.527983,756.2,1990,,ws
6,9/7/2022,4632.782728,14:17,4633.681383,756.2,2109.5,,ws
7,9/7/2022,4635.700436,14:17,4636.313537,676.6,1950.2,,ws
8,9/7/2022,4638.304016,14:17,4638.690353,1592,4059.7,,ws
9,9/7/2022,4638.421597,14:17,4638.690353,2069.7,3502.5,,ws
10,9/7/2022,4639.337049,14:17,4640.454069,1074.6,2268.7,,ws
11,9/7/2022,4641.797852,14:17,4642.041413,4776.1,5890.5,,ws
12,9/7/2022,4644.384634,14:17,4645.484857,1154.2,2149.3,,ws
13,9/7/2022,4644.787769,14:17,4645.165708,398,2149.3,,ws
14,9/7/2022,4647.789464,14:17,4649.133247,1154.2,3820.9,,ws
15,9/7/2022,4650.233469,14:17,4650.619807,796,1472.6,,ws
16,9/7/2022,4656.003338,14:17,4656.297291,2626.9,4139.3,,ws
17,9/7/2022,4656.507257,14:17,4656.885196,2507.5,4179.1,,ws
18,9/7/2022,4657.212743,14:17,4657.573885,2228.9,4298.5,,ws
19,9/7/2022,4669.385757,14:17,4670.225621,995,2069.7,,ws
20,9/7/2022,4673.467498,14:17,4673.652268,2348.3,3542.3,,ws
21,9/7/2022,4673.979816,14:17,4674.214978,2268.7,4019.9,,ws
22,9/7/2022,4674.500532,14:17,4674.744092,2308.5,4179.1,,ws
23,9/7/2022,4675.436159,14:17,4676.082855,1194,2626.9,,ws
24,9/7/2022,4677.619807,14:17,4678.955191,1114.4,3144.3,,ws
25,9/7/2022,4678.039739,14:17,4678.392482,557.2,1154.2,,ws
26,9/7/2022,4679.173556,14:17,4679.383522,1233.8,4059.7,,ws
27,9/7/2022,4680.752501,14:18,4681.575568,2825.9,3184.1,,ws
28,9/7/2022,4681.978703,14:18,4682.230663,796,1273.6,,ws
29,9/7/2022,4684.002777,14:18,4684.985418,7920.4,8716.4,,ws
30,9/7/2022,4689.070538,14:18,4689.213315,1910.4,3184.1,,ws
