selection,date,begin_Time,time,end_Time,low_Freq,high_Freq,call_type,call_category
1,10/4/2021,4617.15543,10:46,4617.766363,600,960,flatws.seg,ws
2,10/4/2021,4620.449822,10:47,4620.589176,680,920,flatws,ws
3,10/4/2021,4620.809202,10:47,4621.219118,600,840,flatws,ws
4,10/4/2021,4627.598398,10:47,4627.846712,600,1000,flatws,ws
5,10/4/2021,4629.829287,10:47,4629.941054,3880,4120,flatws,ws
6,10/4/2021,4634.752909,10:47,4635.190415,520,1880,dws,ws
7,10/4/2021,4635.233772,10:47,4635.450555,1160,1520,flatws,ws
8,10/4/2021,4639.694845,10:47,4640.187533,3720,6080,flatws,ws
9,10/4/2021,4660.83751,10:47,4661.941131,8280,9240,trill,ws
10,10/4/2021,4664.276027,10:47,4664.540798,480,800,flatws,ws
11,10/4/2021,4665.287731,10:47,4665.781041,600,920,flatws,ws
12,10/4/2021,4667.939511,10:47,4668.761694,560,960,flatws.seg,ws
13,10/4/2021,4669.294023,10:47,4669.982427,600,920,flatws.seg,ws
14,10/4/2021,4670.593508,10:47,4670.829998,600,920,flatws,ws
15,10/4/2021,4681.023494,10:48,4681.181154,9000,9360,flatws,ws
16,10/4/2021,4681.051084,10:48,4681.252101,2680,3400,aws,ws
17,10/4/2021,4701.773682,10:48,4702.386836,680,1000,flatws,ws
18,10/4/2021,4913.833887,10:51,4914.034555,720,2800,pulse.d,pc
19,10/4/2021,4916.04124,10:51,4916.163871,1160,1480,flatws,ws
20,10/4/2021,4916.492744,10:51,4916.760302,920,1960,dws,ws
21,10/4/2021,4965.999439,10:52,4966.21683,3600,4240,dws,ws
22,10/4/2021,4976.492744,10:52,4977.234103,1120,5280,pulse.flat,pc
23,10/4/2021,4984.539586,10:53,4984.868459,1293.913,1627.826,flatws,ws
24,10/4/2021,4984.860098,10:53,4985.060766,1502.609,1794.783,flatws,ws
25,10/4/2021,4985.091424,10:53,4985.65441,1377.391,1669.565,flatws,ws
26,10/4/2021,4986.641233,10:53,4986.961745,1502.609,1794.783,flatws,ws
27,10/4/2021,4986.90043,10:53,4987.181923,1544.348,1878.261,flatws,ws
28,10/4/2021,4987.201432,10:53,4987.599982,1293.913,1627.826,flatws,ws
29,10/4/2021,4991.188958,10:53,4991.317163,1586.087,2045.217,uws,ws
30,10/4/2021,4994.720181,10:53,4994.823303,3881.739,4173.913,flatws,ws
31,10/4/2021,5013.911923,10:53,5014.235222,1419.13,1878.261,dws,ws
32,10/4/2021,5018.270553,10:53,5019.035205,1586.087,4090.435,pulse.flat,pc
33,10/4/2021,5021.695401,10:53,5023.409954,1627.826,4173.913,pulse.flat.seg,pc
34,10/4/2021,5055.350058,10:54,5055.584171,3840,4090.435,flatws,ws
35,10/4/2021,5075.60584,10:54,5075.806857,1335.652,1669.565,flatws,ws
36,10/4/2021,5077.765783,10:54,5078.250587,1502.609,1794.783,flatws,ws
37,10/4/2021,5089.467236,10:54,5089.743141,793.043,2086.957,pulse.d,pc
38,10/4/2021,5090.604662,10:54,5091.100207,1232.877,3657.534,pulse.d,pc
39,10/4/2021,5174.700829,10:56,5174.914994,1210.435,1561.644,flatws.seg,ws
40,10/4/2021,6871.86697,11:24,6872.663153,709.565,1711.304,pulse.flat.seg.4,pc
