date,minute,encounter,behavior,pulse.flat,flatws,aws,dws,pulse.flat.seg,pulse.d,modws,pulse.a,uws,modws.seg,flatws.seg,pulse.mod,pulse.n,nws,c.13,nws.seq,modws.m,c.9,aws.seg,trill,rws,pulse.mod.seg,c.10,pulse.mod.bc,pulse.flat.seg.2,c.12,behav_s,difftime_s,behav_next,difftime_next
9/17/2021,1,3,Travel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,-17
9/17/2021,2,3,Travel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,-16
9/17/2021,3,3,Travel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,18,-15
9/17/2021,4,3,Travel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,18,-14
9/17/2021,5,3,Travel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,18,-13
9/17/2021,6,3,Travel,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,18,-12
9/17/2021,7,3,Travel,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,18,-11
9/17/2021,8,3,Travel,5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,18,-10
9/17/2021,9,3,Travel,5,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,18,-9
9/17/2021,10,3,Travel,7,7,0,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,18,-8
9/17/2021,11,3,Travel,16,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,18,-7
9/17/2021,12,3,Travel,2,5,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,18,-6
9/17/2021,13,3,Travel,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,18,-5
9/17/2021,14,3,Travel,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,18,-4
9/17/2021,15,3,Travel,0,4,1,3,1,0,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,18,-3
9/17/2021,16,3,Travel,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,18,-2
