selection,date,begin_Time,time,end_Time,low_Freq,high_Freq,call_type,call_category
1,10/8/2021,7742.976638,12:24,7743.405368,5665.6,6491.8,modws,ws
2,10/8/2021,7745.045127,12:24,7745.782868,5485.714,6570.5,modws,ws
3,10/8/2021,7748.060146,12:24,7749.936534,5114.8,9796.7,modws.seg,ws
4,10/8/2021,7751.884775,12:24,7752.140899,5405.042,6332.773,modws,ws
5,10/8/2021,7807.260574,12:25,7807.56681,3186.555,3589.916,flatws.seg,ws
6,10/8/2021,7808.215472,12:25,7808.287855,6090.756,6453.782,flatws,ws
7,10/8/2021,7832.957641,12:25,7833.170245,6050.42,6373.109,flatws,ws
8,10/8/2021,7833.593484,12:25,7833.644667,6937.815,7946.218,aws,ws
9,10/8/2021,7862.369708,12:26,7862.809573,7946.218,8994.958,modws.seg,ws
10,10/8/2021,7862.72327,12:26,7862.987746,5768.067,6292.437,flatws.seg,ws
11,10/8/2021,7864.091221,12:26,7864.586766,7058.824,7946.218,flatws.seg,ws
12,10/8/2021,7864.241555,12:26,7864.609038,5727.731,6413.445,flatws,ws
13,10/8/2021,7864.937545,12:26,7865.344003,7099.16,7986.555,trill,ws
14,10/8/2021,7864.99044,12:26,7865.52496,5989.744,6441.026,flatws,ws
15,10/8/2021,7865.817276,12:26,7866.307252,7220.513,8000,trill,ws
16,10/8/2021,7876.727939,12:26,7876.914464,6605.128,23917.949,pulse.flat,pc
17,10/8/2021,7877.838739,12:26,7877.99464,6523.077,8123.077,pulse.flat,pc
18,10/8/2021,7877.93439,12:26,7878.557997,5456.41,5948.718,flatws,ws
19,10/8/2021,7884.219797,12:26,7884.668628,5210.256,13825.641,dws,ws
20,10/8/2021,7889.543348,12:26,7889.692958,3979.487,5128.205,modws,ws
21,10/8/2021,7891.863612,12:26,7892.117556,9107.692,11117.949,dws,ws
22,10/8/2021,7892.462053,12:26,7892.615601,9271.795,12923.077,dws,ws
23,10/8/2021,7893.198293,12:26,7893.981779,2379.487,11979.487,pulse.d,pc
24,10/8/2021,7899.026927,12:26,7899.09931,5333.333,5948.718,aws,ws
25,10/8/2021,7899.143854,12:26,7899.720133,9969.231,12102.564,modws,ws
26,10/8/2021,7904.636968,12:26,7905.293982,1887.179,9271.795,pulse.d,pc
27,10/8/2021,7905.355229,12:26,7905.822934,2625.641,8082.051,modws,ws
28,10/8/2021,7905.912021,12:26,7906.023379,3610.256,5333.333,dws,ws
29,10/8/2021,7909.080161,12:26,7909.856885,3282.051,4266.667,modws,ws
30,10/8/2021,7919.286189,12:26,7921.20712,2289.908,24000,pulse.mod.seg,pc
31,10/8/2021,7924.030054,12:27,7924.881946,4471.795,10461.538,modws.seg,ws
32,10/8/2021,7924.528393,12:27,7925.048994,12553.846,23179.487,pulse.mod,pc
33,10/8/2021,7927.454334,12:27,7928.545645,6523.077,23261.538,pulse.mod,pc
34,10/8/2021,7927.988861,12:27,7928.189306,4143.59,5169.231,modws,ws
35,10/8/2021,7931.25898,12:27,7932.252854,13784.615,24000,pulse.mod,pc
36,10/8/2021,7952.079678,12:27,7952.59471,2338.462,9271.795,dottrill,ws
37,10/8/2021,7954.76063,12:27,7955.640361,3035.897,22358.974,dottrill,ws
38,10/8/2021,7956.035223,12:27,7956.424978,3897.436,4923.077,dottrill,ws
39,10/8/2021,7982.27889,12:28,7982.359625,2871.795,4102.564,dws,ws
40,10/8/2021,7983.798931,12:28,7984.589576,2830.769,4676.923,pulse.flat.seg,pc
41,10/8/2021,7985.766263,12:28,7986.09477,5128.205,6687.179,dws,ws
42,10/8/2021,7986.595767,12:28,7986.927058,2748.718,6358.974,pulse.flat,pc
43,10/8/2021,7987.052336,12:28,7987.734406,2748.718,6112.821,pulse.mod,pc
44,10/8/2021,7989.516604,12:28,7990.577292,2666.667,6358.974,pulse.mod,pc
45,10/8/2021,7994.688542,12:28,7995.22863,2707.692,7712.821,pulse.flat,pc
46,10/8/2021,7995.131192,12:28,7995.287094,4553.846,5128.205,flatws,ws
47,10/8/2021,7995.590545,12:28,7995.701903,2748.718,4266.667,dws,ws
48,10/8/2021,7995.816621,12:28,7996.042122,3076.923,4964.103,pulse.mod,pc
49,10/8/2021,7996.470276,12:28,7996.589986,3323.077,3692.308,flatws,ws
50,10/8/2021,7997.56994,12:28,7997.700786,3158.974,4430.769,uws,ws
51,10/8/2021,7999.668376,12:28,7999.882741,3035.897,7097.436,pulse.mod.seg,pc
52,10/8/2021,8000.149989,12:28,8001.583728,2502.564,7056.41,pulse.mod,pc
53,10/8/2021,8010.715351,12:28,8010.894201,2686.239,9025.641,pulse.n,pc
54,10/8/2021,8011.158815,12:28,8011.878814,2466.055,6913.761,modws,ws
55,10/8/2021,8012.485516,12:28,8013.688186,2871.795,22687.179,pulse.flat,pc
56,10/8/2021,8028.463793,12:28,8029.459883,8615.385,24000,pulse.flat.seg,pc
57,10/8/2021,8038.694763,12:28,8038.876326,4143.59,5087.179,uws,ws
58,10/8/2021,8039.349955,12:28,8039.525156,3651.282,4594.872,flatws,ws
59,10/8/2021,8040.082566,12:29,8040.283011,3323.077,5374.359,pulse.flat,pc
60,10/8/2021,8056.929842,12:29,8057.798437,3200,9312.821,pulse.mod,pc
61,10/8/2021,8057.968923,12:29,8058.561906,3323.077,9312.821,modws,ws
62,10/8/2021,8058.631505,12:29,8058.701104,3364.103,4635.897,dws,ws
63,10/8/2021,8059.636514,12:29,8060.290744,3200,11774.359,pulse.mod,pc
