date,time,encounter,dot,tide,sample_round,group_number,group_size,count_white,count_gray,count_calf,calf_presence ,behavior,comments
9/11/2021,13:22,2,S,Ebb,1,1,6,4,1,1,yes,Travel,
9/11/2021,13:23,2,S,Ebb,1,1,6,4,1,1,yes,Travel,
9/11/2021,13:24,2,S,Ebb,1,1,6,4,1,1,yes,Travel,
9/11/2021,13:25,2,S,Ebb,1,1,6,4,1,1,yes,Travel,
9/11/2021,13:26,2,S,Ebb,1,1,6,4,1,1,yes,Travel,
9/11/2021,13:27,2,S,Ebb,1,1,6,4,1,1,yes,Travel,
9/11/2021,13:28,2,S,Ebb,1,1,6,4,1,1,yes,Travel,
9/11/2021,13:29,2,S,Ebb,1,1,6,4,1,1,yes,Travel,
9/11/2021,13:30,2,S,Ebb,1,1,6,4,1,1,yes,Travel,
9/11/2021,13:31,2,S,Ebb,1,1,6,4,1,1,yes,Travel,
9/11/2021,13:32,2,S,Ebb,1,1,6,4,1,1,yes,Travel,2w+1g+1c travel past battle pt
9/11/2021,13:33,2,S,Ebb,1,1,6,4,1,1,yes,Travel,
9/11/2021,13:34,2,S,Ebb,1,1,6,4,1,1,yes,Travel,
9/11/2021,13:35,2,S,Ebb,1,1,6,4,1,1,yes,Travel,
9/11/2021,13:36,2,S,Ebb,1,1,6,4,1,1,yes,Travel,2w near Garner creek- traveling 5 minutes behind first group
9/11/2021,13:37,2,S,Ebb,1,1,6,4,1,1,yes,Travel,
9/11/2021,13:38,2,S,Ebb,1,1,6,4,1,1,yes,Travel,
9/11/2021,13:39,2,S,Ebb,1,1,2,2,0,0,no,Travel,
9/11/2021,13:40,2,S,Ebb,1,1,2,2,0,0,no,Travel,
9/11/2021,13:41,2,S,Ebb,1,1,2,2,0,0,no,Travel,
9/11/2021,13:42,2,S,Ebb,1,1,2,2,0,0,no,Travel,
9/11/2021,13:43,2,S,Ebb,1,1,2,2,0,0,no,Travel,
9/11/2021,13:44,2,S,Ebb,1,1,2,2,0,0,no,Travel,
9/11/2021,13:45,2,S,Ebb,1,1,2,2,0,0,no,Travel,
9/11/2021,13:46,2,S,Ebb,1,1,2,2,0,0,no,Travel,2w between garner creek and south point. Other group out of sight
9/11/2021,13:47,2,S,Ebb,1,1,2,2,0,0,no,Travel,
9/11/2021,13:48,2,S,Ebb,1,1,2,2,0,0,no,Travel,
9/11/2021,13:49,2,S,Ebb,1,1,2,2,0,0,no,Travel,
9/11/2021,13:50,2,S,Ebb,1,1,2,2,0,0,no,Travel,
