date,time,encounter,dot,tide,sample_round,group_number,group_size,count_white,count_gray,count_calf,calf_presence ,behavior,comments
9/7/2022,13:18,20,N,Flood,1,1,8,7,1,0,no,Travel,
9/7/2022,13:19,20,N,Flood,1,1,8,7,1,0,no,Travel,
9/7/2022,13:20,20,N,Flood,1,1,8,7,1,0,no,Travel,
9/7/2022,13:21,20,N,Flood,1,1,8,7,1,0,no,Travel,
9/7/2022,13:22,20,N,Flood,1,1,8,7,1,0,no,Travel,
9/7/2022,13:23,20,N,Flood,1,1,8,7,1,0,no,Travel,
9/7/2022,13:24,20,N,Flood,1,1,8,7,1,0,no,Travel,
9/7/2022,13:25,20,N,Flood,1,1,8,7,1,0,no,Travel,
9/7/2022,13:26,20,N,Flood,1,1,8,7,1,0,no,Travel,
9/7/2022,13:27,20,N,Flood,1,1,8,7,1,0,no,Travel,
9/7/2022,13:28,20,N,Flood,1,1,8,7,1,0,no,Travel,
9/7/2022,13:29,20,N,Flood,1,1,8,7,1,0,no,Travel,
9/7/2022,13:30,20,N,Flood,1,1,8,7,1,0,no,Travel,
9/7/2022,13:31,20,N,Flood,1,1,8,7,1,0,no,Travel,
9/7/2022,13:32,20,N,Flood,1,1,8,7,1,0,no,Travel,
9/7/2022,13:33,20,N,Flood,1,1,8,7,1,0,no,Travel,
9/7/2022,13:34,20,N,Flood,1,1,8,7,1,0,no,Travel,
9/7/2022,13:35,20,N,Flood,1,1,8,7,1,0,no,Travel,
9/7/2022,13:36,20,N,Flood,1,1,8,7,1,0,no,Travel,
9/7/2022,13:37,20,N,Flood,1,1,8,7,1,0,no,Travel,
9/7/2022,13:38,20,N,Flood,1,1,8,7,1,0,no,Travel,
9/7/2022,13:39,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,13:40,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,13:41,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,13:42,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,13:43,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,13:44,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,13:45,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,13:46,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,13:47,20,N,Flood,1,1,24,13,6,5,yes,Travel,one whale entered river
9/7/2022,13:48,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,13:49,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,13:50,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,13:51,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,13:52,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,13:53,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,13:54,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,13:55,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,13:56,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,13:57,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,13:58,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,13:59,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,14:00,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,14:01,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,14:02,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,14:03,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,14:04,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,14:05,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,14:06,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,14:07,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,14:08,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,14:09,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,14:10,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,14:11,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,14:12,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,14:13,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,14:14,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,14:15,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,14:16,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,14:17,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,14:18,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,14:19,20,N,Flood,1,1,24,13,6,5,yes,Travel,
9/7/2022,14:20,20,N,Flood,1,1,24,13,6,5,yes,Travel,
