selection,date,begin_Time,time,end_Time,low_Freq,high_Freq,call_type,call_category
1,8/26/2022,2677.452966,8:44,2678.796749,1125,7333.3,,pc
2,8/26/2022,2691.759235,8:44,2693.052627,1125,7000,,pc
3,8/26/2022,6229.721722,9:43,6229.906492,869.9,1462.9,,ws
4,8/26/2022,6236.188678,9:43,6236.356651,2570,3123.6,,ws
5,8/26/2022,6959.949047,9:55,6960.100222,909.4,8145,,pc
6,8/26/2022,6961.234039,9:56,6961.469201,1304.8,1700.2,,ws
7,8/26/2022,6961.863938,9:56,6962.183086,1344.3,1581.5,,ws
8,8/26/2022,6965.954078,9:56,6967.222273,553.5,7196,,pc
9,8/26/2022,6967.776584,9:56,6969.926637,316.3,5416.8,,pc
10,8/26/2022,6970.094609,9:56,6971.841528,909.4,5100.5,,pc
11,8/26/2022,7095.478161,9:58,7096.301229,3202.6,6919.3,,pc
12,8/26/2022,7127.147808,9:58,7127.273787,632.6,5891.3,,pc
13,8/26/2022,7172.603008,9:59,7173.720028,1462.9,6721.6,,pc
14,8/26/2022,7208.533023,10:00,7209.330894,474.5,2490.9,,pc
15,8/26/2022,7232.433923,10:00,7232.820261,1225.7,2293.2,,pc
16,8/26/2022,7233.273787,10:00,7234.68476,316.3,4705.1,,pc
17,8/26/2022,7235.323057,10:00,7236.66684,1186.2,3716.6,,pc
18,8/26/2022,7518.823057,10:05,7520.964711,395.4,23920.9,,pc
19,8/26/2022,7561.876245,10:06,7562.900879,316.3,5851.7,,pc
20,8/26/2022,7575.090691,10:06,7575.435035,672.2,5851.7,,pc
21,8/26/2022,7873.99104,10:11,7874.192608,988.5,5100.5,,pc
22,8/26/2022,7887.608621,10:11,7888.582864,316.3,24000,,pc
23,8/26/2022,7906.626531,10:11,7908.449036,434.9,2253.7,,pc
24,8/26/2022,7953.620377,10:12,7953.834543,2293.2,9805.6,,ws
25,8/26/2022,7956.237922,10:12,7957.233161,434.9,2451.4,,pc
26,8/26/2022,7957.560708,10:12,7959.059866,434.9,2490.9,,pc
27,8/26/2022,7965.385203,10:12,7965.77716,1779.2,7393.7,,ws
28,8/26/2022,7966.115668,10:12,7966.442299,1660.6,7472.8,,ws
29,8/26/2022,7966.941153,10:12,7967.303416,1542,6761.1,,ws
30,8/26/2022,7969.019711,10:12,7969.174119,2411.9,6484.3,,ws
31,8/26/2022,7973.182767,10:12,7973.574724,553.5,10991.8,,ws
32,8/26/2022,7976.246285,10:12,7976.584793,1383.9,9924.2,,ws
33,8/26/2022,7977.309319,10:12,7977.671582,1502.5,9014.8,,ws
34,8/26/2022,7992.665904,10:13,7992.863272,1067.5,2332.8,,ws
35,8/26/2022,7993.283204,10:13,7993.606552,1462.9,6444.8,,ws
36,8/26/2022,7994.198657,10:13,7994.433819,553.5,9687,,pc
37,8/26/2022,7994.811758,10:13,7995.051119,553.5,10556.8,,pc
38,8/26/2022,7995.450055,10:13,7995.731409,909.4,9093.9,,pc
39,8/26/2022,7996.256325,10:13,7996.810635,1739.7,7393.7,,ws
40,8/26/2022,7997.310354,10:13,7997.696692,1502.5,6523.9,,ws
41,8/26/2022,8001.103154,10:13,8001.241731,2490.9,9528.8,,ws
42,8/26/2022,8003.953355,10:13,8005.364328,593.1,12454.7,,pc
43,8/26/2022,8007.60704,10:13,8007.79181,751.2,10833.6,,pc
44,8/26/2022,8016.123266,10:13,8017.122705,434.9,10121.9,,pc
45,8/26/2022,8017.542637,10:13,8018.70165,395.4,10398.7,,pc
46,8/26/2022,8022.40883,10:13,8023.189904,711.7,23723.2,,pc
47,8/26/2022,8034.838003,10:13,8035.392314,395.4,8026.4,,pc
48,8/26/2022,8048.113376,10:14,8048.356865,1660.6,8342.7,,ws
49,8/26/2022,8050.738299,10:14,8051.142133,2570,6326.2,,ws
50,8/26/2022,8052.246738,10:14,8053.493873,593.1,11861.6,,pc
51,8/26/2022,8054.176828,10:14,8055.334882,355.8,8263.6,,pc
52,8/26/2022,8056.547678,10:14,8057.085191,672.2,10359.1,,pc
53,8/26/2022,8063.101999,10:14,8065.025289,274.5,11686.3,,pc
54,8/26/2022,8075.451385,10:14,8076.358438,470.6,9490.2,,pc
55,8/26/2022,8085.748313,10:14,8085.899489,1882.4,9568.6,,ws
56,8/26/2022,8095.690472,10:14,8095.820651,784.3,8509.8,,ws
57,8/26/2022,8102.908727,10:15,8103.404247,352.9,7529.4,,pc
58,8/26/2022,8119.411228,10:15,8119.512012,642.1,5859.5,,ws
59,8/26/2022,8147.199884,10:15,8147.376255,401.3,13886.3,,pc
60,8/26/2022,8148.484876,10:15,8148.846018,1525.1,8588.6,,ws
61,8/26/2022,8149.240754,10:15,8149.610295,1444.8,9190.6,,ws
62,8/26/2022,8150.131011,10:15,8150.450159,1043.5,9872.9,,pc
63,8/26/2022,8151.642767,10:15,8151.911523,1605.4,8909.7,,ws
64,8/26/2022,8155.353715,10:15,8155.75685,1444.8,6943.1,,ws
65,8/26/2022,8157.278257,10:15,8158.31129,441.5,2167.2,,pc
66,8/26/2022,8158.575027,10:15,8158.910972,1484.9,7224.1,,ws
67,8/26/2022,8164.19372,10:16,8164.50447,762.5,7183.9,,ws
68,8/26/2022,8193.746908,10:16,8193.931678,1806,7344.5,,ws
69,8/26/2022,8203.324741,10:16,8203.937842,1083.6,2448.2,,pc
70,8/26/2022,8218.435607,10:16,8219.460242,481.6,24000,,pc
71,8/26/2022,8220.846018,10:17,8221.971436,160.5,24000,,pc
72,8/26/2022,8224.222273,10:17,8225.498867,160.5,24000,,pc
73,8/26/2022,8226.901441,10:17,8228.127643,200.7,24000,,pc
74,8/26/2022,8240.107488,10:17,8241.342089,240.8,24000,,pc
75,8/26/2022,8250.441199,10:17,8251.575016,401.3,24000,,pc
